keyword,aweme_id,user_id,location,published_at,text,post_url
工地机器人,7567725943410707747,MS4wLjABAAAAUZNaQbXsvaWM71WEkgwD4N3E_g0_uvdBP80OIhXrvrk,,2025-11-01 20:02:07,机器人盖楼，五天一层。绑钢筋 放线 浇筑 覆膜样样精通 #机器人 #建筑机器人 #工地 #机器人应用 #建筑,https://www.douyin.com/video/7567725943410707747
工地机器人,7611524021917682978,MS4wLjABAAAAk8hAD5mPK330cl2KS19RpUl8lh4FXqiY4AL5_2VGNZs,,2026-02-27 20:41:28,机器人竟然进军建筑行业，开始砌砖抹灰铺地砖了！ 从任务规划到调度到执行甚至导航，碧桂园的每一个建筑机器人都被多机施工系统这个超级大脑安排得明明白白，自成一套全周期施工闭环， 目前碧桂园的机器人施工面积已经突破了3000 万平方米，如果按一百平米的房子来算，这些粉色机器人已参与施工了约 30 万套住宅！项目覆盖国内 31个省市和海外 13个国家，简直太牛了，曾经只存在于科幻电影里的画面，正在成为现实 #科技 #碧桂园 #硅基智能 #司马华鹏,https://www.douyin.com/video/7611524021917682978
工地机器人,7539843351651175699,MS4wLjABAAAAMR4SFokU1RUkvKdwbOewQBbeUZT6JJwJy7XrlrlMjbg,,2025-08-18 18:45:00,科技改变生活，机器人不仅能贴砖刮腻子，还能3D打印房子 #建筑 #机器人 #施工现场 #科技改变生活,https://www.douyin.com/video/7539843351651175699
工地机器人,7169891161530764581,MS4wLjABAAAAazXjeQY3xlQtBpGvLGiU8DA7EyxbF9uNPeIrQ_aEraff6Oz9jbJ6SQoeGpAYxveh,,2022-11-26 11:21:00,搬砖机器人亮相，不努力搬砖都没机会了#科技改变生活 #机器人 #工地,https://www.douyin.com/video/7169891161530764581
工地机器人,7161384666316967201,MS4wLjABAAAAke3ILdiE5V5Nawq8HnP-j_GNjccMVGmzpxSeAMYJ1zc8kpgv4d_KL7ZiGJWqDTb1,,2022-11-03 18:00:39,硬核粉色科技：机器人“工友”开始盖房子，建筑行业的变革就此开始！#碧桂园,https://www.douyin.com/video/7161384666316967201
工地机器人,7610342404096363816,MS4wLjABAAAAPzfttpiX4ttITgYeZYWfTXoCiBKxpoDDAglNMoVcFi4,,2026-02-24 19:00:00,从人工到智能！机器人承包脏累活，赋能行业升级 #建筑 #建筑机器人 #施工现场实拍 #工地,https://www.douyin.com/video/7610342404096363816
工地机器人,7505957532305722658,MS4wLjABAAAA6WFahm0INx6g5DVB4hmyb_Hjtj_0MvH4cQXbhVwuZFU,,2025-05-19 09:11:09,哪些机器人能上工地？ 哪些建筑机器人真正能落地？在营销号的引导下，可能我们的预期都太高了。#建筑机器人,https://www.douyin.com/video/7505957532305722658
工地机器人,7615888081542974756,MS4wLjABAAAAPzfttpiX4ttITgYeZYWfTXoCiBKxpoDDAglNMoVcFi4,,2026-03-11 19:00:00,佛山工地迎来智能工友，AI 赋能建筑新场景 佛山工地迎来智能工友，AI 赋能建筑新场景 #建筑机器人 #施工现场实拍 #工地 #建筑,https://www.douyin.com/video/7615888081542974756
施工机器人,7617786517931244977,MS4wLjABAAAAnIvpt-ASqOlbmCV04Z0ibLUE__ah_cIavckSL8A3Ot0GiwDHCbPm2aTS5NHgu1D4,,2026-03-16 17:42:18,能施工重塑整个行业的施工模式 #装修 #机器人施工 #涨知识,https://www.douyin.com/video/7617786517931244977
施工机器人,7539843351651175699,MS4wLjABAAAAMR4SFokU1RUkvKdwbOewQBbeUZT6JJwJy7XrlrlMjbg,,2025-08-18 18:45:00,科技改变生活，机器人不仅能贴砖刮腻子，还能3D打印房子 #建筑 #机器人 #施工现场 #科技改变生活,https://www.douyin.com/video/7539843351651175699
施工机器人,7480467392636701961,MS4wLjABAAAAPzfttpiX4ttITgYeZYWfTXoCiBKxpoDDAglNMoVcFi4,,2025-03-11 18:42:00,工地施工开启新时代，以后“机器换人”还是“人机共舞”？ #建筑 #建筑机器人 #工地 #施工现场实拍 #智能建造,https://www.douyin.com/video/7480467392636701961
施工机器人,7548040991635197199,MS4wLjABAAAAsLxy2k9zCsF4DilaWa_MObijeJP8UWfwu8tb1n-gh6qFHRFyStri_9-daE2vKO73,,2025-09-09 18:54:14,国产机器人要把工地“卷”疯了！ #机器人 #搬砖 #科技,https://www.douyin.com/video/7548040991635197199
施工机器人,7476017434940476722,MS4wLjABAAAAPzfttpiX4ttITgYeZYWfTXoCiBKxpoDDAglNMoVcFi4,,2025-02-27 18:47:00,机器人都来抢建筑“饭碗”了，传统工艺会被淘汰吗？ #建筑 #建筑机器人 #工地 #施工现场实拍,https://www.douyin.com/video/7476017434940476722
施工机器人,6980620383317740831,MS4wLjABAAAAUjDx813gkua_ffqononLBXOet6Buyyef4-Unt3FS2Ik,,2021-07-03 16:52:27,一款结合BIM模型数据的建筑工地自动放线机器人 #人工智能 #智慧工地 #科技 #机器人 #新基建,https://www.douyin.com/video/6980620383317740831
施工机器人,7098516724080790821,MS4wLjABAAAAZUro5hBsyqnrw2udynEb-PbDwf6SH6dcnhiY2nBDvrg,,2022-05-18 17:45:00,#施工现场实拍 机器人腻子涂敷作业全程记录，带你走进机器人施工现场！想知道机器人如何加料、如何完成狭窄区域作业吗？点进来，一起“监工”机器人干活~#博智林机器人 #腻子喷涂机,https://www.douyin.com/video/7098516724080790821
施工机器人,7376953686448246056,MS4wLjABAAAAvsnv1yhDlQKYu2NiWI-BZeLD2z95yKSRlEktoT6oUkY,,2024-06-05 17:48:01,6月5日（采访时间），山东首台“造楼机”——“天蝉”住宅施工机器人系统落地青岛，住宅建设迈入智能建造时代！据了解，它可以实现五天一层的效率，节省人工近50%。,https://www.douyin.com/video/7376953686448246056
建筑机器人,7481856216080223529,MS4wLjABAAAATKzEuX2gMOAQEOF_kpB3FonSfraygsBik_85B1FE5DI,,2025-03-15 10:26:46,高科技人工智能，中国钢铁侠进入工地，3天盖房成本砍半！ #智能制造 #机械制造与自动化 #自动化生产线 #中国智造 #科技改变生活 中国“钢铁侠”杀入工地！3天盖别墅+日砌3000砖，建筑工人集体失业倒计时？,https://www.douyin.com/video/7481856216080223529
建筑机器人,7416322481004318004,MS4wLjABAAAANj9414mRm2BT1gGQRChDHU6eZCHUehn9oeadFCATCUsyre6-VKntQZhSJSAGw4Fq,,2024-09-19 20:00:54,德国人发明的房屋建造机器人，两天内就可以建造一套房子 #建筑机器人#自助砌砖一体机#新型科技,https://www.douyin.com/video/7416322481004318004
建筑机器人,7527634986187410731,MS4wLjABAAAAv5wMd4hHoudeAnnIoPr1RsvyqV-dt684wx18Mz7YVDuEchv20qUj6Mb_qhaxaItM,,2025-07-16 19:08:41,上海奇迹 432台机器人搬楼 7500吨大楼变移动城堡 古有愚公移山，今有机器人搬楼！今日，432个小型步履式移位机器人组成了机器人钢铁方阵，将上海重7500吨的建筑群“华严里”以日均十米的速度，将其顺利挪至指定位置，真成移动城堡了！#机器人 #上海“华严里”,https://www.douyin.com/video/7527634986187410731
建筑机器人,7547177126278057216,MS4wLjABAAAAu6HQkr_xttx9KRv3SruuKsg_cGBHi929xYKsty7xbFs_KwgUKBIdohv4wYlBUsQv,,2025-09-07 11:01:58,机器人全自动盖房子，三天盖别墅！国外都这么先进了？ #科技,https://www.douyin.com/video/7547177126278057216
建筑机器人,6980620383317740831,MS4wLjABAAAAUjDx813gkua_ffqononLBXOet6Buyyef4-Unt3FS2Ik,,2021-07-03 16:52:27,一款结合BIM模型数据的建筑工地自动放线机器人 #人工智能 #智慧工地 #科技 #机器人 #新基建,https://www.douyin.com/video/6980620383317740831
建筑机器人,7410692387644706074,MS4wLjABAAAAjKmsolMwCG9r0IsQ0dvPe8V6nH72yNZ6jvsbMq_qJ5I,,2024-09-04 15:51:34,#建筑机器人#知识科普 #建筑行业 #智慧工地 建筑工地机器人的覆盖率已经能够达到了95%！！！😱 可以采用大量机器人+少量工人的施工方式， 减少现场施工人员数量， 降低现场管理难度， 有效降低施工成本！ 而且机器人自动吸尘集尘回收♻️， 降低工人粉尘及有害物质吸入， 降低施工人员患职业病风险！ 关键这些机器人能不眠不休的工作， 做的又快又好，人哪里比得了呢？😅 难怪建筑专业的学生都开始转专业了， 学校里的传统建筑专业， 也的确是该进行智能化转型了！ 否则学生毕业即失业！ 未来的建筑从业人员， 更多是需要熟练运用数字化、智能化等手段，精细把控机器人进行施工作业。 未来十年预计会出现千万级建筑工人岗位缺口！！！😱,https://www.douyin.com/video/7410692387644706074
建筑机器人,7491238088216284428,MS4wLjABAAAAPzfttpiX4ttITgYeZYWfTXoCiBKxpoDDAglNMoVcFi4,,2025-04-09 19:15:59,建筑业早已进入机器人时代，看看我说的对吗？#人工智能机器人 #智能制造 #机器人 #科技创新 #中国智造,https://www.douyin.com/video/7491238088216284428
建筑机器人,7614803093294008059,MS4wLjABAAAApfJiFcgPo7XBG7Ny5Dz4RJpdWosRTpwb7sSg9xBk59Q,,2026-03-08 16:45:06,智能建造机器人上场，体力时代即将终结#机器人 #建筑机器人 #体力活 #知识科普 #建筑工程,https://www.douyin.com/video/7614803093294008059
建造机器人,7590719177812380968,MS4wLjABAAAAShdZY2XWloc1dCP72P6Hl59I7VrY98cKdYcz8A6cLcI,,2026-01-02 19:08:06,国外的外星球基地建造机器人系统研究测试#哈工老韩 #机器人,https://www.douyin.com/video/7590719177812380968
建造机器人,7551232477503753518,MS4wLjABAAAAPzfttpiX4ttITgYeZYWfTXoCiBKxpoDDAglNMoVcFi4,,2025-09-24 12:00:00,为什么感觉智能建造越来越好玩的呢？一定要看完这个视频#建筑机器人 #施工现场实拍 #建筑 #工地,https://www.douyin.com/video/7551232477503753518
建造机器人,7618496877008358702,MS4wLjABAAAAUf6eLRRD2TJ5ufYaD11h3gIv9M9QJHNyeDIXwyHmzQFKzLqB7oo5raRA-NQDuPO9,,2026-03-18 15:38:58,【James Bruton】造个能骑的四足机器人 #机器人 #DIY #硬核,https://www.douyin.com/video/7618496877008358702
建造机器人,7489387900648393999,MS4wLjABAAAA4is0Hr-9R_5Q4bM32oPExsxWEJvrQgLTcELn-RQZRmvs5jenlN91DgowkY0XBfC_,,2025-04-04 17:30:27,建筑机器人能否代替人在工地干活#机器人干活 #建筑机器人 #建筑机器人智能建造 @抖音小助手,https://www.douyin.com/video/7489387900648393999
建造机器人,7618601750149073146,MS4wLjABAAAATam4Won-Cqp064Wa6MQgAZaQRA_RXJa0qDJm1Noy5Qonp9h41WfmdOswd4fnVfev,,2026-03-18 22:25:49,智能建造爆发，2026年不懂建筑机器人必被淘汰#工程#建筑工程#新疆工程#工程人#新疆澳地建设,https://www.douyin.com/video/7618601750149073146
建造机器人,7617648063808539947,MS4wLjABAAAASqiAVn0PkZpEFkw3qy1XFlb6_JlG1muaxnjOFYAvHcRHW7-HDZskpRpPZiKPDptA,,2026-03-16 08:45:29,双盘抹平抹光机器人 的五大优势 工地新卷王：双盘抹平抹光机器人的五大核心优势大公开！#施工现场 #智能建造 #建筑机器人 #双盘抹平抹光机器人 #智慧工地,https://www.douyin.com/video/7617648063808539947
建造机器人,7596991309584403750,MS4wLjABAAAA3Z6r0bM5i5fYMFpg6IyMQEXdoC1icyZKQKMLAzQ4lMk,,2026-01-19 16:46:34,一条视频看懂，未来机器人如何建造你的新家 #机器人 #机器人替代人工 #智能机器人 #新型建筑技术,https://www.douyin.com/video/7596991309584403750
